X,Y,STARTDATE,LOCNAME,AREAHA,COUNTRYID,LOCUSTID,REPORTID,ACOMMENT,SHPMINDSQM,SHPMAXDSQM,SADMINDHA,SADMAXDHA
-12.79861111,18.53166667,11/1/03 0:00, ,40, ,30073,BIGRAMSES_20031117_M,40 HA'TREATED ADULT,2,2,37000,37000
3.035277778,18.31944444,11/27/03 0:00, ,500, ,31164,MLI03-26,600HA GROUND CONTROL,0,0,0,0
3.137222222,18.15138889,11/28/03 0:00, ,0, ,31170,MLI03-26,400HA GROUND CONTROL,1,4,30000,30000
3.0925,18.24027778,11/28/03 0:00, ,0, ,31171,MLI03-26,1000HA GROUND CONTRO,3,60,70000,70000
-13.20694444,18.40611111,11/22/03 0:00, ,80, ,31436,BIGRAMSES_20031208_M, ,0,0,0,0
-13.17305556,18.43666667,11/22/03 0:00, ,80, ,31438,BIGRAMSES_20031208_M, ,0,0,0,0
-13.32305556,18.38777778,11/22/03 0:00, ,70, ,31452,BIGRAMSES_20031208_M,Transiens appearing,33,33,2300,2300
-14.30277778,18.62555556,12/6/03 0:00, ,0, ,31659,MAU03-41, ,0,0,0,0
2.568333333,18.22361111,12/8/03 0:00, ,250, ,31789,MLI03-27,SWARM 13:50-14:30 18,0,0,0,0
-14.4375,18.74055556,12/8/03 0:00, ,420, ,31880,BIGRAMSES_20031215_M, ,1,1,100,100
-14.30277778,18.62555556,12/5/03 0:00, ,300, ,31888,BIGRAMSES_20031215_M, ,18,18,0,0
-14.47916667,18.55833333,12/8/03 0:00, ,210, ,31924,BIGRAMSES_20031215_M, ,1,1,200,200
2.855277778,17.92138889,12/14/03 0:00, ,200, ,32160,MLI03-28,200HA GROUND CONTROL,0,0,0,0
-12.85,18.48138889,11/8/03 0:00, ,600, ,30158,BIGRAMSES_20031117_M,ADULT FLEDGLINGS,0.2,0.2,800,800
-12.83916667,18.42027778,11/7/03 0:00, ,2.5, ,30160,BIGRAMSES_20031117_M, ,1,1,7000,7000
-15.34944444,19.24916667,11/8/03 0:00, ,80, ,30164,BIGRAMSES_20031117_M, ,17,17,700,700
-12.87666667,18.42083333,11/7/03 0:00, ,10, ,30165,BIGRAMSES_20031117_M,ADULT FLEDGLING,1,1,8000,8000
-12.82444444,18.40361111,11/7/03 0:00, ,8.5, ,30166,BIGRAMSES_20031117_M,ADULT FLEDGLING,1,1,9500,9500
-12.99916667,18.42055556,11/8/03 0:00, ,400, ,30170,BIGRAMSES_20031117_M, ,0.2,0.2,3200,3200
-13.11388889,18.31166667,11/8/03 0:00, ,40, ,30172,BIGRAMSES_20031117_M,ADULT FLEDGLING,0,0,1200,1200
-12.96361111,18.43305556,11/8/03 0:00, ,550, ,30173,BIGRAMSES_20031117_M,ADULT FLEDGLING,0.2,0.2,2400,2400
-13.12583333,18.30555556,11/8/03 0:00, ,40, ,30177,BIGRAMSES_20031117_M, ,0,0,0,0
-10.08833333,24.71472222,11/5/03 0:00, ,70, ,30114,BIGRAMSES_20031117_M, ,0.31999999,0.31999999,0,0
-15.27555556,19.74444444,11/6/03 0:00, ,60, ,30146,BIGRAMSES_20031117_M, ,65,65,0,0
-11.57694444,20.93638889,11/7/03 0:00, ,12, ,30149,BIGRAMSES_20031117_M, ,0,0,300,300
-12.02416667,19.12833333,11/2/03 0:00, ,4.1799998, ,30035,BIGRAMSES_20031117_M,ADULT FLEDGLING,180,180,5000,5000
2.753333333,17.83722222,11/4/03 0:00,Tagorast,7500, ,30232,BIGRAMSES_20031117_M, ,0,8,0,0
2.703611111,17.85805556,11/4/03 0:00,Tagorast,2500, ,30234,BIGRAMSES_20031117_M, ,0,4,0,0
2.769444444,17.82388889,11/4/03 0:00, ,4000, ,30244,BIGRAMSES_20031117_M, ,0,0,0,0
0.241944444,19.66666667,11/9/03 0:00, ,600, ,30268,BIGRAMSES_20031117_M, ,0,0,0,0
0.288888889,19.68416667,11/9/03 0:00, ,1, ,30269,BIGRAMSES_20031117_M, ,0,1,0,0
0.116111111,19.50611111,11/9/03 0:00, ,2, ,30270,BIGRAMSES_20031117_M, ,0,2,0,0
5.838055556,18.2425,11/7/03 0:00, ,5, ,30766,NER03-41, ,0,0,500,600
5.743333333,18.26277778,11/7/03 0:00, ,35, ,30768,NER03-41,ADULTS TRANSIENS,0,0,100,500
5.720555556,18.25138889,11/7/03 0:00, ,5, ,30769,NER03-41,ADULTS SOLITARY TRAN,0,0,50,100
5.648055556,18.25027778,11/7/03 0:00, ,10, ,30770,NER03-41,ADULTS SOLITARY TRAN,0,0,500,500
5.514166667,18.29861111,11/7/03 0:00, ,5, ,30771,NER03-41,ADULTS SOLITARY TRAN,0,0,50,100
5.470555556,18.26583333,11/7/03 0:00, ,5, ,30772,NER03-41,ADULTS SOLITARY TRAN,0,0,600,700
5.223333333,18.34611111,11/8/03 0:00, ,50, ,30776,NER03-41, ,2,5,5000,10000
5.130555556,18.355,11/8/03 0:00, ,10, ,30777,NER03-41, ,2,5,20,30
5.125277778,18.40888889,11/8/03 0:00, ,10, ,30778,NER03-41, ,5,10,5000,10000
5.028333333,18.40138889,11/7/03 0:00, ,5, ,30780,NER03-41, ,3,4,50,100
5.0225,18.41138889,11/7/03 0:00, ,0.050000001, ,30781,NER03-41, ,10,50,0,0
5.012222222,18.39944444,11/7/03 0:00, ,0.050000001, ,30782,NER03-41, ,10,50,10,10
5.003333333,18.395,11/7/03 0:00, ,2, ,30783,NER03-41, ,20,50,20,20
4.993888889,18.40277778,11/7/03 0:00, ,10, ,30784,NER03-41, ,50,100,1000,10000
4.965,18.38333333,11/7/03 0:00, ,200, ,30785,NER03-41,HOPPERS GROUP ASSUME,0,0,10000,50000
4.9775,18.49222222,11/8/03 0:00, ,20, ,30793,NER03-41, ,5,10,5000,10000
5.002777778,18.49888889,11/8/03 0:00, ,50, ,30794,NER03-41, ,10,20,10000,20000
5.340833333,18.5175,11/8/03 0:00, ,10, ,30798,NER03-41, ,5,10,50,100
5.361666667,18.5325,11/8/03 0:00, ,10, ,30799,NER03-41, ,1,5,50,100
5.597777778,18.49833333,11/8/03 0:00, ,20, ,30800,NER03-41, ,5,10,50,100
3.6,25.58333333,11/19/03 0:00, ,0, ,30581,ALG03-14,FLEDGLING MATURE,0,0,2,4
3.433333333,25.4,11/20/03 0:00, ,600, ,30587,ALG03-14,FLEDGLING MATURE,0,0,30,50
3.283333333,25.28333333,11/20/03 0:00, ,300, ,30588,ALG03-14,FLEDGLING MATURE ARE,0,0,50,50
3.166666667,24.71666667,11/21/03 0:00, ,5, ,30590,ALG03-14,FLEDGLING MATURE,0,0,2,4
3.683333333,25.58333333,11/19/03 0:00, ,300, ,30593,ALG03-14, ,0,0,2,4
8.4,26.51666667,11/7/03 0:00, ,315, ,30600,ALG03-14,MATURE + FLEDGLING,0,0,200000,500000
2.475555556,18.18527778,11/14/03 0:00, ,30, ,30696,MLI03-25,ADULT + FLEDGLING CO,0,0,19000,19000
6.511388889,19.28777778,10/21/03 0:00, ,0.2, ,30698,NER03-41, ,10,20,0,0
6.531666667,19.2625,10/21/03 0:00, ,5, ,30699,NER03-41, ,1,2,10,20
6.961111111,16.45444444,11/7/03 0:00, ,5, ,31010,NER03-45,ADULT FEDGLING,0,0,0,0
6.845833333,16.62111111,11/7/03 0:00, ,10, ,31013,NER03-45,ADULT FLEDGLING,0,0,0,0
6.831666667,16.91722222,11/7/03 0:00, ,50, ,31014,NER03-45,ADULT FLEDGLING,0,0,500,500
6.885277778,17.03,11/8/03 0:00, ,5, ,31015,NER03-45,ADULT FLEDGLING,0,0,300,300
6.86,17.04777778,11/8/03 0:00, ,5, ,31016,NER03-45,ADULT FLEDGLING,0,0,0,0
6.855277778,17.05722222,11/8/03 0:00, ,2, ,31017,NER03-45,ADULT FLEDGLING,0,0,0,0
6.813888889,17.04638889,11/8/03 0:00, ,1, ,31018,NER03-45,ADULT FLEDGLING,0,0,0,0
6.780555556,17.06777778,11/8/03 0:00, ,5, ,31019,NER03-45,ADULT FLEDGLING,0,0,500,1000
6.765555556,17.07388889,11/8/03 0:00, ,2, ,31020,NER03-45,ADULT FLEDGLING,0,0,50,50
6.822777778,17.28027778,11/8/03 0:00, ,5, ,31022,NER03-45,ADULT FLEDGLING,0,0,0,0
6.681666667,17.41138889,11/9/03 0:00, ,5, ,31023,NER03-45,ADULT FLEDGLING,0,0,100,100
6.626666667,17.76,11/9/03 0:00, ,200, ,31024,NER03-45,ADULT FLEDGLING,0,0,0,0
6.553333333,17.99277778,11/9/03 0:00, ,5, ,31025,NER03-45,ADULT FLEDGLING,0,0,1000,2000
6.510277778,18.01305556,11/9/03 0:00, ,5, ,31026,NER03-45,ADULT FLEDGLING,0,0,1000,1000
6.490555556,18.01027778,11/10/03 0:00, ,25, ,31027,NER03-45,ADULT FLEDGLING,0,0,5000,5000
6.400833333,18.98027778,11/10/03 0:00, ,5, ,31028,NER03-45,ADULT FLEDGLING,0,0,0,0
6.5075,17.81138889,11/10/03 0:00, ,5, ,31029,NER03-45,ADULT FLEDGLING,0,0,0,0
6.870277778,17.88583333,11/10/03 0:00, ,1, ,31030,NER03-45,ADULT FLEDGLING,0,0,0,0
6.958611111,17.94027778,11/11/03 0:00, ,2, ,31031,NER03-45,ADULT FLEDGLING,0,0,0,0
6.996388889,17.95861111,11/11/03 0:00, ,2, ,31032,NER03-45,ADULT FLEDGLING,0,0,0,0
7.272222222,17.90555556,11/11/03 0:00, ,5, ,31033,NER03-45,ADULT FLEDGLING,0,0,500,500
7.3125,17.90444444,11/11/03 0:00, ,5, ,31034,NER03-45,ADULT FLEDGLING,0,0,200,500
7.2425,17.17611111,11/13/03 0:00, ,0.5, ,31043,NER03-45,ADULT FLEDGLING,0,0,0,0
7.522777778,17.125,11/14/03 0:00, ,2, ,31048,NER03-45,ADULT FLEDGLING,0,0,0,0
7.522777778,17.125,11/14/03 0:00, ,2, ,31049,NER03-45,ADULT FLEDGLING,0,0,0,0
7.6375,17.13583333,11/14/03 0:00, ,1, ,31050,NER03-45,ADULT FLEDGLING,0,0,0,0
7.617777778,17.10888889,11/14/03 0:00, ,1, ,31051,NER03-45,ADULT FLEDGLING,0,0,0,0
9.093611111,15.09611111,11/16/03 0:00, ,15, ,31081,NER03-45,ADULT FLEDGLING,0,0,10,15
11.43388889,15.66416667,11/19/03 0:00, ,1300, ,31098,NER03-45,ADULT FLEDGLING,0,0,5,10
