X,Y,STARTDATE,FINISHDATE,LOCNAME,AREAHA,LOCRELIAB,COUNTRYID,LOCUSTID,REPORTID,ACOMMENT,LOCPRESENT,CONFIRMATN,BREEDING,GADMINDHA,GADMAXDHA,CTLSTDATE,CTLFNDATE,CTLEXACT,CTLPTMONTH,CTLPESTIC
38.23305556,24.02138889,12/11/03 0:00,12/11/03 0:00,Waset Bader,140,Exact, ,33216,BIGRAMSES_20040107_S,140 ha treated.,1,1,1,0,40000,12/11/03 0:00,12/11/03 0:00,1,0,140 ha treated.
38.60888889,24.14722222,12/10/03 0:00,12/10/03 0:00,Alfageer,100,Exact, ,33213,BIGRAMSES_20040107_S,100 ha treated.,1,1,1,0,0,12/10/03 0:00,12/10/03 0:00,1,0,100 ha treated.
39.30333333,21.98694444,12/10/03 0:00,12/10/03 0:00,Alghula,100,Exact, ,33212,BIGRAMSES_20040107_S,100 ha treated.,1,1,1,200000,400000,12/10/03 0:00,12/10/03 0:00,1,0,100 ha treated.
38.60833333,24.70333333,12/9/03 0:00,12/9/03 0:00, Wadimebrk Yanbu,100,Exact, ,33167,BIGRAMSES_20040107_S,100 ha treated.,1,1,1,100000,200000,12/9/03 0:00,12/9/03 0:00,1,0,100 ha treated.
38.79722222,23.77777778,12/9/03 0:00,12/9/03 0:00,Bader,120,Exact, ,33168,BIGRAMSES_20040107_S,120 ha treated.,1,1,1,500000,800000,12/9/03 0:00,12/9/03 0:00,1,0,120 ha treated.
39.11666667,21.925,12/9/03 0:00,12/9/03 0:00,AlGhula,200,Exact, ,33169,BIGRAMSES_20040107_S,200 ha treated.,1,1,1,200000,400000,12/9/03 0:00,12/9/03 0:00,1,0,200 ha treated.
-12.9775,17.61,1/1/04 0:00,1/1/04 0:00, ,212,Exact, ,35643,BIGRAMSES_20040203_M,212.5 ha treated.,1,1,2,350000,350000,1/1/04 0:00,1/1/04 0:00,1,0,212.5 ha treated.
39.23694444,22.05722222,11/20/03 0:00,11/20/03 0:00,Thaual,300,Exact, ,30672,BIGRAMSES_20031125_S,  over 250 ha,1,1,1,30000,50000,11/20/03 0:00,11/20/03 0:00,1,0,  over 250 ha
39.14222222,22.07083333,11/18/03 0:00,11/18/03 0:00,Thaual,400,Exact, ,30674,BIGRAMSES_20031125_S,  over 200 ha,1,1,1,20000,30000,11/18/03 0:00,11/18/03 0:00,1,0,  over 200 ha
39.03888889,22.80277778,11/18/03 0:00,11/18/03 0:00,Rabigh,1400,Exact, ,30675,BIGRAMSES_20031125_S,  over 270 ha,1,1,1,200000,300000,11/18/03 0:00,11/18/03 0:00,1,0,  over 270 ha
-15.62972222,19.49361111,1/1/04 0:00,1/1/04 0:00, ,60,Exact, ,34576,BIGRAMSES_20040123_M,average cohesion red,1,1,2,120000,120000,1/1/04 0:00,1/1/04 0:00,1,0,average cohesion red
38.93333333,23.66666667,12/10/03 0:00,12/10/03 0:00,GiGa Bader,100,Exact, ,33076,BIGRAMSES_20040107_S,100 ha treated.,1,1,1,50000,100000,12/10/03 0:00,12/10/03 0:00,1,0,100 ha treated.
39.375,22.15,11/27/03 0:00,11/27/03 0:00,algemom,300,Exact, ,32235,BIGRAMSES_20031230_S,300 ha treated.,1,1,1,0,0,11/27/03 0:00,11/27/03 0:00,1,0,300 ha treated.
39.03888889,22.80277778,11/26/03 0:00,11/26/03 0:00,aseder,9/20/04 0:00,Exact, ,32236,BIGRAMSES_20031230_S,90 ha treated.,1,1,1,0,0,11/26/03 0:00,11/26/03 0:00,1,0,90 ha treated.
39.33888889,22.12472222,11/27/03 0:00,11/27/03 0:00,atelah,300,Exact, ,32237,BIGRAMSES_20031230_S,300 ha treated.,1,1,1,0,0,11/27/03 0:00,11/27/03 0:00,1,0,300 ha treated.
39.26638889,22.46833333,11/25/03 0:00,11/25/03 0:00,anwebbei,45,Exact, ,32239,BIGRAMSES_20031230_S,45 ha treated.,1,1,1,0,0,11/25/03 0:00,11/25/03 0:00,1,0,45 ha treated.
39.4875,21.83333333,11/29/03 0:00,11/29/03 0:00,abwalgamaem,200,Exact, ,32245,BIGRAMSES_20031230_S,200 ha treated.,1,1,1,0,0,11/29/03 0:00,11/29/03 0:00,1,0,200 ha treated.
39.44444444,22.33777778,11/27/03 0:00,11/27/03 0:00,w-alather,50,Exact, ,32246,BIGRAMSES_20031230_S,50 ha treated.,1,1,1,0,0,11/27/03 0:00,11/27/03 0:00,1,0,50 ha treated.
39.99166667,21.37638889,11/27/03 0:00,11/27/03 0:00,arefat,20,Exact, ,32247,BIGRAMSES_20031230_S,20 ha treated.,1,1,1,0,0,11/27/03 0:00,11/27/03 0:00,1,0,20 ha treated.
39.27916667,22.72777778,11/21/03 0:00,11/21/03 0:00,Khaneg,270,Exact, ,32221,BIGRAMSES_20031230_S,270 ha treated.,1,1,1,0,0,11/21/03 0:00,11/21/03 0:00,1,0,270 ha treated.
39.10833333,22.29166667,11/18/03 0:00,11/18/03 0:00,Thwal,400,Exact, ,32222,BIGRAMSES_20031230_S,400 ha treated.,1,1,1,0,0,11/18/03 0:00,11/18/03 0:00,1,0,400 ha treated.
-13.00916667,18.40972222,11/9/03 0:00,11/9/03 0:00, ,40,Exact, ,30186,BIGRAMSES_20031117_M,  over 60 ha,1,1,2,0,0,11/9/03 0:00,11/9/03 0:00,1,0,  over 60 ha
39.43055556,22.46861111,11/23/03 0:00,11/23/03 0:00,Al-Sharah,130,Exact, ,32229,BIGRAMSES_20031230_S,130 ha treated.,1,1,1,0,0,11/23/03 0:00,11/23/03 0:00,1,0,130 ha treated.
39.30055556,22.21916667,11/23/03 0:00,11/23/03 0:00,HaratKhlase,600,Exact, ,32230,BIGRAMSES_20031230_S,600 ha treated.,1,1,1,0,0,11/23/03 0:00,11/23/03 0:00,1,0,600 ha treated.
39.05,22.95,11/23/03 0:00,11/23/03 0:00,Rehab/Makkah,90,Exact, ,32231,BIGRAMSES_20031230_S,90 ha treated.,1,1,1,0,0,11/23/03 0:00,11/23/03 0:00,1,0,90 ha treated.
39.035,22.80361111,11/18/03 0:00,11/18/03 0:00,Rabigh,1400,Exact, ,32219,BIGRAMSES_20031230_S,1400 ha treated.,1,1,1,0,0,11/18/03 0:00,11/18/03 0:00,1,0,1400 ha treated.
39.21083333,22.86666667,11/22/03 0:00,11/22/03 0:00,alkaneg,600,Exact, ,32232,BIGRAMSES_20031230_S,400 ha treated.,1,1,1,0,0,11/22/03 0:00,11/22/03 0:00,1,0,400 ha treated.
37.27055556,25.01777778,11/22/03 0:00,11/22/03 0:00,Umloj,2000,Exact, ,32233,BIGRAMSES_20031230_S,500 ha treated.,1,1,1,150000,200000,11/22/03 0:00,11/22/03 0:00,1,0,500 ha treated.
2.744722222,17.87027778,11/11/03 0:00,11/13/03 0:00, ,0,Exact, ,30648,MLI03-25,SWARM ASSUMED,1,1,2,80000,250000,11/11/03 0:00,11/13/03 0:00,1,-1,SWARM ASSUMED
-14.16777778,22.79138889,11/8/03 0:00,11/8/03 0:00, ,0,Exact, ,29582,MOR03-18,525HA AIRSPRAY MALAT,1,1,2,0,0,11/8/03 0:00,11/8/03 0:00,1,-1,525HA AIRSPRAY MALAT
-14.16138889,22.81611111,11/9/03 0:00,11/9/03 0:00, ,0,Exact, ,29583,MOR03-18,800HA AIRSPRAY MALAT,1,1,2,0,0,11/9/03 0:00,11/9/03 0:00,1,-1,800HA AIRSPRAY MALAT
-14.73333333,21.4,11/9/03 0:00,11/9/03 0:00, ,0,Exact, ,29584,MOR03-18,5HA GROUNDSPRAY MALA,1,1,2,0,0,11/9/03 0:00,11/9/03 0:00,1,-1,5HA GROUNDSPRAY MALA
-14.29583333,22.25416667,11/10/03 0:00,11/10/03 0:00, ,0,Exact, ,29585,MOR03-18,140HA GROUNDSPRAY MA,1,1,2,0,0,11/10/03 0:00,11/10/03 0:00,1,-1,140HA GROUNDSPRAY MA
2.855277778,17.92138889,12/14/03 0:00,12/14/03 0:00, ,200,Exact, ,32160,MLI03-28,200HA GROUND CONTROL,1,1,1,500000,1000000,12/14/03 0:00,12/14/03 0:00,1,-1,200HA GROUND CONTROL
3.035277778,18.31944444,11/27/03 0:00,11/27/03 0:00, ,500,Exact, ,31164,MLI03-26,600HA GROUND CONTROL,1,1,1,300000,400000,11/27/03 0:00,11/27/03 0:00,1,-1,600HA GROUND CONTROL
0.608055556,18.5925,11/27/03 0:00,11/27/03 0:00, ,680,Exact, ,31165,MLI03-26,680HA GROUND CONTROL,1,1,2,300000,400000,11/27/03 0:00,11/27/03 0:00,1,-1,680HA GROUND CONTROL
3.137222222,18.15138889,11/28/03 0:00,11/28/03 0:00, ,0,Exact, ,31170,MLI03-26,400HA GROUND CONTROL,1,1,1,300000,400000,11/28/03 0:00,11/28/03 0:00,1,-1,400HA GROUND CONTROL
3.0925,18.24027778,11/28/03 0:00,11/28/03 0:00, ,0,Exact, ,31171,MLI03-26,1000HA GROUND CONTRO,1,1,1,300000,400000,11/28/03 0:00,11/28/03 0:00,1,-1,1000HA GROUND CONTRO
39.49166667,22.12555556,11/30/03 0:00,11/30/03 0:00,abw halefa,400,Exact, ,32253,BIGRAMSES_20031230_S,400 ha treated.,1,1,1,0,0,11/30/03 0:00,11/30/03 0:00,1,0,400 ha treated.
39.22888889,23.42916667,12/14/03 0:00,12/14/03 0:00,am albarek,200,Exact, ,33047,BIGRAMSES_20040107_S,200 ha treated.,1,1,1,0,0,12/14/03 0:00,12/14/03 0:00,1,0,200 ha treated.
-12.79861111,18.53166667,11/1/03 0:00,11/1/03 0:00, ,40,Exact, ,30073,BIGRAMSES_20031117_M,40 HA'TREATED ADULT,1,1,1,0,0,11/1/03 0:00,11/1/03 0:00,1,0,40 HA'TREATED ADULT
38.79722222,23.77777778,12/13/03 0:00,12/13/03 0:00,bader,95,Exact, ,33159,BIGRAMSES_20040107_S,95 ha treated.,1,1,1,0,0,12/13/03 0:00,12/13/03 0:00,1,0,95 ha treated.
